Year;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec;Annual
1850;-0.702;-0.281;-0.732;-0.569;-0.326;-0.212;-0.128;-0.232;-0.435;-0.452;-0.189;-0.267;-0.374
1851;-0.299;-0.358;-0.482;-0.444;-0.3;-0.188;-0.213;-0.152;-0.105;-0.06;-0.027;-0.064;-0.221
1852;-0.307;-0.476;-0.505;-0.558;-0.207;-0.037;-0.015;-0.194;-0.124;-0.216;-0.186;0.085;-0.224
1853;-0.174;-0.326;-0.313;-0.352;-0.267;-0.176;-0.057;-0.146;-0.405;-0.36;-0.257;-0.444;-0.269
1854;-0.373;-0.288;-0.291;-0.348;-0.233;-0.216;-0.231;-0.169;-0.121;-0.191;-0.372;-0.235;-0.251
1855;-0.176;-0.4;-0.303;-0.221;-0.337;-0.163;-0.269;-0.162;-0.343;-0.211;-0.217;-0.513;-0.273
1856;-0.107;-0.369;-0.508;-0.378;-0.119;-0.289;-0.298;-0.305;-0.457;-0.392;-0.608;-0.445;-0.353
1857;-0.506;-0.36;-0.43;-0.636;-0.565;-0.311;-0.538;-0.326;-0.394;-0.464;-0.666;-0.367;-0.46
1858;-0.531;-0.709;-0.553;-0.516;-0.655;-0.579;-0.323;-0.281;-0.339;-0.204;-0.645;-0.304;-0.466
1859;-0.311;-0.195;-0.336;-0.2;-0.312;-0.249;-0.283;-0.099;-0.574;-0.256;-0.324;-0.358;-0.287
1860;-0.195;-0.431;-0.649;-0.345;-0.3;-0.308;-0.115;-0.193;-0.224;-0.197;-0.508;-0.753;-0.349
1861;-0.9;-0.526;-0.468;-0.4;-0.768;-0.187;-0.212;-0.099;-0.335;-0.357;-0.426;-0.268;-0.413
1862;-0.753;-0.785;-0.404;-0.247;-0.233;-0.341;-0.34;-0.699;-0.418;-0.426;-0.765;-0.894;-0.526
1863;0.128;-0.029;-0.367;-0.241;-0.322;-0.403;-0.422;-0.316;-0.324;-0.385;-0.333;-0.348;-0.281
1864;-0.938;-0.636;-0.502;-0.551;-0.454;-0.165;-0.15;-0.309;-0.448;-0.705;-0.472;-0.615;-0.494
1865;-0.099;-0.611;-0.643;-0.229;-0.264;-0.279;-0.13;-0.208;-0.079;-0.265;-0.194;-0.342;-0.274
1866;0.037;-0.215;-0.593;-0.264;-0.532;0.103;0.028;-0.269;-0.235;-0.425;-0.312;-0.34;-0.249
1867;-0.32;0.009;-0.717;-0.258;-0.546;-0.294;-0.239;-0.232;-0.101;-0.185;-0.313;-0.637;-0.322
1868;-0.703;-0.466;-0.076;-0.378;-0.073;-0.18;0.147;-0.034;-0.199;-0.236;-0.504;-0.124;-0.234
1869;-0.266;0.268;-0.589;-0.23;-0.279;-0.375;-0.294;-0.078;-0.193;-0.428;-0.381;-0.359;-0.267
1870;-0.083;-0.453;-0.405;-0.212;-0.167;-0.215;0.015;-0.261;-0.265;-0.401;-0.169;-0.725;-0.278
1871;-0.532;-0.547;0.014;-0.145;-0.314;-0.222;-0.012;-0.221;-0.456;-0.482;-0.538;-0.563;-0.334
1872;-0.308;-0.403;-0.475;-0.154;-0.045;-0.211;-0.117;-0.027;-0.131;-0.228;-0.249;-0.43;-0.23
1873;-0.017;-0.344;-0.276;-0.523;-0.413;-0.259;-0.152;-0.163;-0.359;-0.405;-0.467;-0.276;-0.304
1874;0.056;-0.44;-0.564;-0.513;-0.471;-0.462;-0.177;-0.371;-0.214;-0.435;-0.506;-0.408;-0.375
1875;-0.578;-0.614;-0.599;-0.467;-0.176;-0.236;-0.305;-0.18;-0.272;-0.369;-0.499;-0.497;-0.397
1876;-0.312;-0.269;-0.385;-0.299;-0.532;-0.284;-0.135;-0.244;-0.436;-0.387;-0.581;-0.713;-0.382
1877;-0.327;0.058;-0.291;-0.325;-0.452;-0.092;0.012;0.148;0.029;0.058;0.101;0.174;-0.076
1878;0.177;0.411;0.345;0.32;-0.082;0.017;-0.049;-0.025;0.012;-0.123;-0.204;-0.362;0.036
1879;-0.197;-0.15;-0.097;-0.216;-0.213;-0.27;-0.232;-0.167;-0.216;-0.123;-0.388;-0.514;-0.232
1880;-0.067;-0.174;-0.107;-0.151;-0.245;-0.312;-0.25;-0.115;-0.234;-0.386;-0.4;-0.294;-0.229
1881;-0.36;-0.239;-0.19;-0.135;-0.034;-0.232;-0.152;-0.128;-0.247;-0.285;-0.34;-0.138;-0.207
1882;0.117;-0.006;-0.054;-0.284;-0.374;-0.32;-0.185;-0.22;-0.159;-0.336;-0.312;-0.464;-0.214
1883;-0.411;-0.325;-0.349;-0.393;-0.256;-0.125;-0.196;-0.211;-0.28;-0.382;-0.305;-0.328;-0.298
1884;-0.416;-0.221;-0.462;-0.531;-0.396;-0.414;-0.425;-0.412;-0.345;-0.328;-0.565;-0.415;-0.411
1885;-0.507;-0.411;-0.483;-0.472;-0.52;-0.488;-0.313;-0.51;-0.333;-0.246;-0.261;-0.153;-0.39
1886;-0.398;-0.455;-0.411;-0.335;-0.191;-0.385;-0.284;-0.338;-0.432;-0.361;-0.421;-0.427;-0.368
1887;-0.568;-0.556;-0.462;-0.44;-0.356;-0.409;-0.27;-0.368;-0.345;-0.506;-0.409;-0.398;-0.422
1888;-0.603;-0.455;-0.543;-0.245;-0.349;-0.292;-0.308;-0.283;-0.218;-0.108;-0.189;-0.171;-0.312
1889;-0.055;-0.097;-0.069;0.008;-0.083;-0.146;-0.196;-0.223;-0.382;-0.299;-0.4;-0.175;-0.173
1890;-0.323;-0.359;-0.458;-0.32;-0.42;-0.378;-0.411;-0.419;-0.478;-0.506;-0.562;-0.402;-0.417
1891;-0.507;-0.465;-0.369;-0.36;-0.202;-0.295;-0.329;-0.32;-0.202;-0.326;-0.541;-0.124;-0.335
1892;-0.399;-0.121;-0.461;-0.483;-0.401;-0.466;-0.532;-0.447;-0.326;-0.44;-0.626;-0.792;-0.456
1893;-0.959;-0.723;-0.373;-0.564;-0.558;-0.462;-0.279;-0.29;-0.439;-0.273;-0.417;-0.341;-0.473
1894;-0.453;-0.378;-0.377;-0.381;-0.422;-0.492;-0.315;-0.341;-0.457;-0.441;-0.42;-0.407;-0.405
1895;-0.494;-0.678;-0.522;-0.403;-0.415;-0.332;-0.35;-0.263;-0.284;-0.341;-0.297;-0.316;-0.39
1896;-0.214;-0.225;-0.38;-0.342;-0.201;-0.118;-0.11;-0.064;-0.11;-0.128;-0.283;-0.03;-0.184
1897;-0.2;-0.126;-0.274;-0.073;-0.034;-0.162;-0.162;-0.154;-0.138;-0.259;-0.455;-0.48;-0.208
1898;-0.086;-0.377;-0.749;-0.572;-0.472;-0.319;-0.381;-0.306;-0.335;-0.559;-0.448;-0.357;-0.413
1899;-0.214;-0.494;-0.544;-0.349;-0.312;-0.388;-0.276;-0.146;-0.136;-0.188;0.025;-0.444;-0.289
1900;-0.246;-0.162;-0.282;-0.254;-0.27;-0.175;-0.19;-0.182;-0.225;-0.06;-0.257;-0.08;-0.198
